problem_statement,difficulty
"Find the sum of elements in an array","Easy"
"Check if a number is prime","Easy"
"Reverse a given string","Easy"
"Count the number of vowels in a string","Easy"
"Find the maximum element in an array","Easy"
"Check if a string is a palindrome","Easy"
"Find factorial of a number","Easy"
"Find the second largest element in an array","Easy"
"Merge two sorted arrays","Easy"
"Check if two strings are anagrams","Easy"
"Find the minimum element in an array","Easy"
"Count frequency of elements in an array","Easy"
"Find the GCD of two numbers","Easy"
"Check if a year is a leap year","Easy"
"Print Fibonacci series up to N","Easy"

"Find the shortest path in a weighted graph","Medium"
"Detect a cycle in a directed graph","Medium"
"Perform binary search on a sorted array","Medium"
"Find lowest common ancestor in a binary tree","Medium"
"Check if a graph is bipartite","Medium"
"Find all pairs with given sum using hashing","Medium"
"Implement breadth first search","Medium"
"Implement depth first search","Medium"
"Find longest increasing subsequence","Medium"
"Rotate an array by K positions","Medium"
"Find majority element using Moore voting algorithm","Medium"
"Find intersection of two arrays","Medium"
"Find missing number in an array","Medium"
"Implement stack using queues","Medium"
"Evaluate postfix expression","Medium"

"Implement segment tree with lazy propagation","Hard"
"Find maximum flow using Dinic's algorithm","Hard"
"Implement Dijkstra using priority queue","Hard"
"Solve knapsack problem using dynamic programming","Hard"
"Find strongly connected components using Kosaraju algorithm","Hard"
"Implement trie data structure","Hard"
"Find articulation points in a graph","Hard"
"Solve longest palindromic substring using DP","Hard"
"Implement range minimum query using sparse table","Hard"
"Solve matrix chain multiplication","Hard"
"Find minimum cost maximum flow","Hard"
"Implement Aho Corasick algorithm","Hard"
"Solve word ladder problem using BFS","Hard"
"Find diameter of a tree","Hard"
"Solve N-Queens problem","Hard"

"Check if array is sorted","Easy"
"Find average of numbers in an array","Easy"
"Count digits in a number","Easy"
"Find power of a number","Easy"
"Swap two numbers without temp","Easy"
"Find largest of three numbers","Easy"
"Check if number is Armstrong","Easy"
"Convert decimal to binary","Easy"
"Find LCM of two numbers","Easy"
"Remove duplicates from array","Easy"
"Find intersection of two sets","Easy"
"Check if string contains only digits","Easy"
"Find first non-repeating character","Easy"
"Find sum of digits of a number","Easy"
"Count words in a string","Easy"

"Find number of connected components in graph","Medium"
"Find shortest path in unweighted graph","Medium"
"Topological sort of a DAG","Medium"
"Check if binary tree is balanced","Medium"
"Find kth smallest element using heap","Medium"
"Find median of two sorted arrays","Medium"
"Detect cycle in undirected graph","Medium"
"Implement LRU cache","Medium"
"Find longest substring without repeating characters","Medium"
"Find subarray with given sum","Medium"
"Check if tree is BST","Medium"
"Find next greater element","Medium"
"Find minimum in rotated sorted array","Medium"
"Implement queue using stacks","Medium"
"Find first missing positive number","Medium"

"Solve coin change problem using DP","Hard"
"Find longest common subsequence","Hard"
"Implement Bellman Ford algorithm","Hard"
"Find bridges in graph","Hard"
"Solve edit distance problem","Hard"
"Implement suffix array","Hard"
"Solve word break problem","Hard"
"Find maximum rectangle in histogram","Hard"
"Implement heavy light decomposition","Hard"
"Solve DP on trees","Hard"
"Find number of distinct substrings","Hard"
"Implement Rabin Karp algorithm","Hard"
"Solve minimum window substring","Hard"
"Find maximum XOR subarray","Hard"
"Implement persistent segment tree","Hard"
